Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0088247,2013-12-28,2013-12-28,null,The Terminator,The Terminator,https://www.imdb.com/title/tt0088247/,Movie,8.1,107,1984,"Action, Adventure, Sci-Fi",960882,1985-01-11T00:00:00Z,James Cameron,9,2013-12-28
2,tt0936501,2013-12-28,2013-12-28,null,Taken,Taken,https://www.imdb.com/title/tt0936501/,Movie,7.7,90,2008,"Action, Crime, Thriller",653480,2008-09-26T00:00:00Z,Pierre Morel,9,2013-12-25
3,tt2334879,2013-12-28,2013-12-28,null,White House Down,White House Down,https://www.imdb.com/title/tt2334879/,Movie,6.3,131,2013,"Action, Drama, Thriller",242858,2013-09-13T00:00:00Z,Roland Emmerich,null,null
4,tt0120812,2013-12-28,2013-12-28,null,Rush Hour,Rush Hour,https://www.imdb.com/title/tt0120812/,Movie,7,98,1998,"Action, Comedy, Crime, Thriller",310123,1998-12-04T00:00:00Z,Brett Ratner,9,2013-12-25
5,tt0356910,2013-12-28,2013-12-28,null,Mr. & Mrs. Smith,Mr. & Mrs. Smith,https://www.imdb.com/title/tt0356910/,Movie,6.5,120,2005,"Action, Comedy, Crime, Thriller",565208,2005-06-10T00:00:00Z,Doug Liman,null,null
6,tt0187393,2013-12-28,2013-12-28,null,The Patriot,The Patriot,https://www.imdb.com/title/tt0187393/,Movie,7.2,165,2000,"Action, Drama, History, War",303044,2000-07-14T00:00:00Z,Roland Emmerich,null,null
7,tt1034032,2013-12-28,2013-12-28,null,Gamer,Gamer,https://www.imdb.com/title/tt1034032/,Movie,5.7,95,2009,"Action, Sci-Fi, Thriller",141736,2009-09-16T00:00:00Z,"Mark Neveldine, Brian Taylor",7,2015-08-15
8,tt0172156,2013-12-28,2013-12-28,null,Bad Boys II,Bad Boys II,https://www.imdb.com/title/tt0172156/,Movie,6.6,147,2003,"Action, Comedy, Crime, Thriller",280365,2003-10-03T00:00:00Z,Michael Bay,9,2015-05-02
9,tt1327194,2013-12-28,2013-12-28,null,The Lucky One,The Lucky One,https://www.imdb.com/title/tt1327194/,Movie,6.4,101,2012,"Drama, Mystery, Romance, War",116151,2012-05-02T00:00:00Z,Scott Hicks,null,null
10,tt0332452,2013-12-28,2013-12-28,null,Troy,Troy,https://www.imdb.com/title/tt0332452/,Movie,7.3,163,2004,"Action, Adventure, Drama",591257,2004-05-21T00:00:00Z,Wolfgang Petersen,null,null
